dataset,query_id,draw_id,method,ndcg_at_10,recall_at_20
scifact,1086,1,expansion_only,1.0,1.0
scifact,1086,1,query_expansion_reencode,1.0,1.0
scifact,1086,1,anchorqe_fixed_015,1.0,1.0
scifact,1086,1,desa_de,1.0,1.0
scifact,1086,2,original,1.0,1.0
scifact,1086,2,expansion_only,1.0,1.0
scifact,1086,2,query_expansion_reencode,1.0,1.0
scifact,1086,2,anchorqe_fixed_015,1.0,1.0
scifact,1086,2,desa_de,1.0,1.0
scifact,1088,0,original,1.0,1.0
scifact,1088,0,expansion_only,1.0,1.0
scifact,1088,0,query_expansion_reencode,1.0,1.0
scifact,1088,0,anchorqe_fixed_015,1.0,1.0
scifact,1088,0,desa_de,1.0,1.0
scifact,1088,1,original,1.0,1.0
scifact,1088,1,expansion_only,1.0,1.0
scifact,1088,1,query_expansion_reencode,1.0,1.0
scifact,1088,1,anchorqe_fixed_015,1.0,1.0
scifact,1088,1,desa_de,1.0,1.0
scifact,1088,2,original,1.0,1.0
scifact,1088,2,expansion_only,1.0,1.0
scifact,1088,2,query_expansion_reencode,1.0,1.0
scifact,1088,2,anchorqe_fixed_015,1.0,1.0
scifact,1088,2,desa_de,1.0,1.0
scifact,1089,0,original,1.0,1.0
scifact,1089,0,expansion_only,1.0,1.0
scifact,1089,0,query_expansion_reencode,1.0,1.0
scifact,1089,0,anchorqe_fixed_015,1.0,1.0
scifact,1089,0,desa_de,1.0,1.0
scifact,1089,1,original,1.0,1.0
scifact,1089,1,expansion_only,1.0,1.0
scifact,1089,1,query_expansion_reencode,1.0,1.0
scifact,1089,1,anchorqe_fixed_015,1.0,1.0
scifact,1089,1,desa_de,1.0,1.0
scifact,1089,2,original,1.0,1.0
scifact,1089,2,expansion_only,1.0,1.0
scifact,1089,2,query_expansion_reencode,1.0,1.0
scifact,1089,2,anchorqe_fixed_015,1.0,1.0
scifact,1089,2,desa_de,1.0,1.0
scifact,1099,0,original,0.31546487678572877,1.0
scifact,1099,0,expansion_only,0.31546487678572877,1.0
scifact,1099,0,query_expansion_reencode,0.43067655807339306,1.0
scifact,1099,0,anchorqe_fixed_015,0.31546487678572877,1.0
scifact,1099,0,desa_de,0.3562071871080222,1.0
